horizon_sec,event_count,event_mae,event_rmse,event_bias
177.0,8,0.12873989343643188,0.17034079688242051,0.06203876733779912
178.0,8,0.12615340948104858,0.16795898161249653,0.06007074117660527
179.0,8,0.12355077266693115,0.1655960473989522,0.05808060169219975
180.0,8,0.12093240022659302,0.1632543121230788,0.05606817007064824
181.0,8,0.11829793453216553,0.1609357010953673,0.054032969474792525
182.0,8,0.11564737558364868,0.15864291267256755,0.05197464227676396
183.0,8,0.11298120021820068,0.1563785250801999,0.049893188476562544
184.0,8,0.11029911041259766,0.1541449769087732,0.04778819084167485
185.0,8,0.11566662788391113,0.1551466743055196,0.053724694252014205
186.0,8,0.12215381860733032,0.16002463578902557,0.06077264547348027
187.0,8,0.12028300762176514,0.15859416790911443,0.0594537734985352
188.0,8,0.11997298002243051,0.1580380918458144,0.05865000486373906
189.0,8,0.11893800497055063,0.15641908679930563,0.05708919763565068
190.0,8,0.11737523078918466,0.15400339334827065,0.05497412681579594
191.0,8,0.11581019163131723,0.15160950248649066,0.05283044576644902
192.0,8,0.11424312591552743,0.1492403722190311,0.05065815448760991
193.0,8,0.11267379522323617,0.14689898067498308,0.04845713376998906
194.0,8,0.11110237836837777,0.14458859159267584,0.046227204799652144
195.0,8,0.10952875614166269,0.14231270532076046,0.04396860599517827
196.0,8,0.10795292854309091,0.14007475926129914,0.041680979728698775
197.0,8,0.10637483596801767,0.13787856524211967,0.039364504814147994
198.0,8,0.10479453802108774,0.13572815778639705,0.0370190024375916
199.0,8,0.10321185588836679,0.133627472047978,0.03464465141296391
200.0,8,0.10162690877914438,0.1315810256767564,0.032241213321685835
