model,observation_horizon_sec,release_time_sec,available_station_count,event_count,station_mae,station_rmse,station_bias,event_mae,event_rmse,event_bias,event_abs_step_p95,station_abs_step_p95
phase48,89,95.0,158,8,0.5291143866896635,0.6810163750239784,0.4003735699633425,0.45689356836229134,0.56888098589834,0.3137960123265292,0.021411079022296504,0.043354663328384835
phase39,90,96.0,158,8,0.5125971647416939,0.6168183823584007,0.22217993736914982,0.3687657901421618,0.43422260405965574,0.26114156848549863,0.035447046804503377,0.08502471310768406
phase47,90,96.0,158,8,0.44747872364652436,0.5600706277023872,0.3475935923924602,0.4166855615186651,0.5247327352672733,0.32042899579417994,0.025612167336159647,0.05981420009004572
phase48,90,96.0,158,8,0.5424954628268125,0.6983955018985507,0.41687437340652606,0.46700353761993463,0.5763918273674116,0.32334595563838153,0.031071727700218644,0.058330109637050945
phase39,91,97.0,158,8,0.5174357073933799,0.6178275043268563,0.23019406495731035,0.3692636842138034,0.43482313548865137,0.2601713458999485,0.011746482698018477,0.082155506755356
phase47,91,97.0,158,8,0.454473081261519,0.5697777158272797,0.35836637987257336,0.4262515660082098,0.535922152459269,0.32634747971985467,0.02805020654812708,0.0542987477220812
phase48,91,97.0,158,8,0.5543212255957516,0.7134364889427951,0.4316762881968716,0.47406466156804195,0.5857726595159252,0.33762977103925995,0.03185205414849483,0.058318118609442325
phase39,92,98.0,158,8,0.5184448853679117,0.617840587342539,0.23958653447547004,0.370230184074242,0.4365266330924315,0.2625305763268174,0.025340300743165615,0.08073674042990807
phase47,92,98.0,158,8,0.45663086053273,0.5744855792445267,0.36164720749256546,0.42635848528068243,0.5377754547569094,0.3209748943064129,0.022456897458903797,0.05350358280761926
phase48,92,98.0,158,8,0.5620937889646614,0.7227970390491139,0.44143292743165663,0.48244061632969226,0.5976728078297626,0.35034045591479546,0.028998130540656582,0.050926519603078375
phase39,93,99.0,158,8,0.5248877164422234,0.62371427435069,0.2567646980549686,0.37620672496351437,0.4474654725595356,0.2770550361025692,0.0740082318144149,0.08065859555106478
phase47,93,99.0,158,8,0.4554771245113164,0.5738945406264144,0.35899936808553634,0.429543633965503,0.5380263577536147,0.31949918211224215,0.015177937230803806,0.048840065626178666
phase48,93,99.0,158,8,0.5654638507013435,0.7233785345247026,0.4428977859434901,0.48685197485667775,0.6043280052663808,0.3537915058113812,0.02218517274482109,0.04683308000777188
phase39,94,100.0,158,8,0.5326413796690225,0.6328839187900988,0.27763842681627754,0.36729284217003777,0.4455960030056118,0.28154895238041033,0.04079912765407981,0.07842522418045685
phase47,94,100.0,158,8,0.45485819849094816,0.5715704774144283,0.35435206858282275,0.4290523746980047,0.5355110604975208,0.31622214789986225,0.015032795312752919,0.04176844650771864
phase48,94,100.0,158,8,0.5634896767879775,0.7177470328744918,0.437883931330409,0.4874938153249042,0.6030416066994672,0.35404290956326223,0.020723476969279852,0.0429844186378102
phase39,95,101.0,158,8,0.5402884934569216,0.6397899881470998,0.2951291538338509,0.3550246953683256,0.4454057838614037,0.2918232655712756,0.06530944315908868,0.07297188343132104
phase47,95,101.0,158,8,0.4560027831114986,0.5709916475266178,0.35268998119298656,0.42680344140938087,0.5300619178673441,0.3119680754637031,0.02771083333369105,0.047411631597508226
phase48,95,101.0,158,8,0.558151910288076,0.7095919920874635,0.43012975345487675,0.4844933309073268,0.5967138335598199,0.35101787369106796,0.028708201704491898,0.04256762955338385
phase39,96,102.0,158,8,0.5429963559775269,0.6413722399767301,0.3046312115234297,0.35689999859411936,0.4471317224301167,0.29453542266238364,0.02158148662355676,0.062441049869299596
phase47,96,102.0,158,8,0.4575886799794844,0.5716938627782624,0.35525423471266554,0.4260206055423186,0.5225496798908372,0.309814287085058,0.032298316410626395,0.05453674972709007
phase48,96,102.0,158,8,0.5529042964394139,0.7033885680313774,0.42432116746951043,0.47688246025773406,0.5891517227754706,0.3439357374858042,0.02938034580073436,0.03839157022416298
phase39,97,103.0,158,8,0.5427516118373716,0.640219814699051,0.30753449744216704,0.3618865947269494,0.4440264249453033,0.2994581187389864,0.062275394829871114,0.0908966889555103
phase47,97,103.0,158,8,0.4583242444947366,0.5709688179123711,0.35806001690049916,0.4254714698497636,0.5184113889272897,0.3076642618230351,0.02535431109222017,0.0628119629790822
phase48,97,103.0,158,8,0.5507532146960106,0.7025061413539879,0.42288820229127555,0.4712226058349953,0.5854676782518474,0.3391009584701601,0.01797172482954279,0.03011132948738285
phase39,98,104.0,158,8,0.5340356211242804,0.6300046967939271,0.29122249864292843,0.3611664423216705,0.4334878786158399,0.2974067948170178,0.07223280062074018,0.08469576103312046
phase47,98,104.0,158,8,0.45826347019484637,0.5694101687012076,0.3579700133549147,0.43022676739928223,0.5177024131275894,0.31007338298681997,0.033265393263592,0.058775569118036525
phase48,98,104.0,158,8,0.5534868816721082,0.707951949501733,0.42545792791825465,0.46903438836676914,0.5843591051400637,0.3383755679804885,0.01533896410866884,0.0388546849115282
phase39,99,105.0,158,8,0.531437273888806,0.6280581836552406,0.28290335089646745,0.3378754044076885,0.4151174542801845,0.27124151253791984,0.05571244648120283,0.10253950183435073
phase47,99,105.0,158,8,0.45292217119683104,0.5617232898832857,0.34921667372175313,0.4248671291453606,0.5050163949216331,0.29924464297004094,0.043817353302222695,0.06031585116317998
phase48,99,105.0,158,8,0.5549131256526514,0.7119321214916948,0.4255781563564697,0.46449614361145974,0.5831944149223515,0.33552105775463137,0.016063589009435653,0.04168581883983197
phase39,100,106.0,158,8,0.5282964461345127,0.6262183713677886,0.2813397999368231,0.3294887711367025,0.4088424463172938,0.26007148568974436,0.03834612986530511,0.07522731742220604
phase47,100,106.0,158,8,0.44637011265497495,0.5545865691302333,0.3395873603559661,0.42203268175003383,0.5006441042976778,0.2920371264719924,0.032935711182788194,0.0585273785293223
phase48,100,106.0,158,8,0.5539581080585025,0.7122025592411947,0.42149915766923013,0.4579103932517252,0.5746711875870749,0.3297910130438402,0.026682841063994756,0.048170337358825505
phase39,101,107.0,158,8,0.530936804410121,0.6300473355184188,0.2822902336745364,0.3235378656663632,0.4067600664950785,0.24943846497689548,0.0250097515240836,0.0950418003839591
phase47,101,107.0,158,8,0.4384443918350733,0.5459473471946046,0.3285285489380511,0.41499358400036834,0.49199162437936445,0.28142590564964476,0.02588637986961091,0.05216278438664652
phase48,101,107.0,158,8,0.5495265519708796,0.7078375945957635,0.4130946276762918,0.44995266596543115,0.5624424265757645,0.32107979902008377,0.03021356934200411,0.07094827327860313
phase39,102,108.0,158,8,0.5311912893702555,0.6303434864677452,0.2786815753984072,0.3242158074234631,0.40782786809680255,0.24422629192579448,0.022526835627128913,0.0796548247275025
phase47,102,108.0,158,8,0.4304541786219488,0.5374061248055841,0.31780561392959095,0.4081754906144187,0.4830156876014655,0.2709420571122817,0.0196748652087682,0.05196335552418612
phase48,102,108.0,158,8,0.5443241011347479,0.7027743095556025,0.4038375864278702,0.4357963346261269,0.5424788194933915,0.30633143862788037,0.048560673968780756,0.06953111609167292
phase39,103,109.0,158,8,0.5297340923988646,0.6292053264339148,0.2674978887795117,0.310374145043929,0.3989295575982322,0.22380888672796506,0.05156524082393197,0.06172132663438432
phase47,103,109.0,158,8,0.42279373059491454,0.5299695562713141,0.30702145811570997,0.40228323068872995,0.4808297690403948,0.26291462030369817,0.03233099995687681,0.051734507595555805
phase48,103,109.0,158,8,0.5427446461276945,0.7015617001872403,0.39858314127522276,0.42836980157244764,0.5355047300449484,0.2998247206697119,0.026270271631417725,0.06050199154540974
phase39,104,110.0,158,8,0.5193593887586684,0.6179425256126241,0.2400610674192312,0.3050942922431894,0.38293816417935134,0.19397230398844356,0.07112747816685319,0.0695067395746313
phase47,104,110.0,158,8,0.4161823057535446,0.5232679073678578,0.2967518904442174,0.40020674989661653,0.4830420596559039,0.26205167688115505,0.020940916469864884,0.05621140925948379
phase48,104,110.0,158,8,0.5445626966272686,0.7029957105647322,0.39653323723909006,0.41934341022339516,0.5249088193042197,0.29154985914491294,0.02538292921336369,0.03994761801090034
phase39,105,111.0,158,8,0.5050003588589902,0.6047030174160377,0.20905755529449094,0.29417857538972725,0.3688838887765445,0.16645725338873096,0.06638909560348644,0.08838451727944126
phase47,105,111.0,158,8,0.4159921299452713,0.5240512700619664,0.29265617934487986,0.40551040585820297,0.4916976302524624,0.266752826070345,0.019008761856832687,0.04749712489764632
phase48,105,111.0,158,8,0.5468045260056968,0.7045514401016648,0.39474102021072605,0.4191001202456196,0.5269335308857289,0.2924952600917795,0.020095979510578482,0.03709384613426497
phase39,106,112.0,158,8,0.4946062889290866,0.5954334371512513,0.19560444863906315,0.2903492872819511,0.36423341376496915,0.16008233633700542,0.013221272358364098,0.0604080951335261
phase47,106,112.0,158,8,0.41862722069766184,0.529250365418488,0.2937135317426358,0.412007928799799,0.502582020033417,0.27218700061695855,0.0286145572911955,0.046682368060888636
phase48,106,112.0,158,8,0.5508592948334631,0.709183931961387,0.39707197988529985,0.41958722376135704,0.5262986140931082,0.2940061869025804,0.008831635058024598,0.04015879870733681
phase39,107,113.0,158,8,0.48630489164655616,0.5893661903621711,0.19377775130434977,0.2784323022853933,0.3567279913215463,0.1653297274400628,0.048166987993443405,0.05544077213624697
