variant,horizon_sec,event,n_stations,median_shape_r,median_delta_mw,mae_delta_mw
old,30,Parkfield2004,11,-0.7595960598332249,0.07828404359259622,0.11265255392637136
old,30,RatIslands2014,1,0.21716606693020649,0.10586638648823055,0.10586638648823055
old,30,SandPoint2020,4,0.6681946661295601,-0.3162777665845491,0.3657263565341691
old,60,Anchorage2018,8,-0.004458345999139857,0.24029935671596103,0.24028928417170325
old,60,Maule2010,6,0.8284239809474421,-0.13272319230858987,0.34893291728664205
old,60,Noto2024,392,0.6906567941890468,0.2747939389987266,0.36187802206410125
old,60,Parkfield2004,11,0.27302311748093444,0.14471262078223113,0.16015983119220217
old,60,RatIslands2014,3,0.5871066861682802,-0.0946425578192942,0.1677250442069266
old,60,SandPoint2020,9,0.4937956208589081,-0.2429299044690909,0.35199897129143554
old,90,Anchorage2018,8,0.45500019591154073,0.15495555153078122,0.28563892420116255
old,90,Maule2010,14,0.7958122231849822,-0.23045669789784773,0.32701782140746266
old,90,Noto2024,396,0.7048213834745045,0.2799340874677889,0.31428411240833787
old,90,Parkfield2004,11,0.4927124396025229,0.13934125471791425,0.152332400436081
old,90,RatIslands2014,3,0.5776487391728817,0.00039780018685853236,0.036045711054002005
old,90,SandPoint2020,9,0.6163588837185455,-0.11820040798833276,0.2044857232655271
old,120,Anchorage2018,8,0.7050378067068197,0.04192814107680487,0.21072210969282656
old,120,Maule2010,18,0.4813587861391114,-0.5830734887618605,0.5597064960606937
old,120,Noto2024,397,0.7941937668682393,0.37889384215421984,0.3753831321421622
old,120,Parkfield2004,11,0.6305541582246429,0.18896376184452368,0.17825751582786803
old,120,RatIslands2014,3,0.7903170156109974,-0.2090356632262118,0.17507215767369053
old,120,SandPoint2020,9,0.6781363637747623,-0.15539207911089647,0.21387029647599112
old,160,Anchorage2018,8,0.8503300441505134,0.03753887240718745,0.16513500215580523
old,160,Maule2010,18,0.6500117219280773,-0.6149793244323307,0.5295522501631695
old,160,Noto2024,397,0.7517660568165805,0.3609896709534892,0.39113350906449057
old,160,Parkfield2004,11,0.6786133336859109,0.20533982951872076,0.20360982925958956
old,160,RatIslands2014,3,0.726139767899029,0.020002677281574677,0.16690732840257283
old,160,SandPoint2020,9,0.6948274937548264,-0.09190778170553404,0.2367568565404482
